433278.85	568461.66	248.97
433278.90	568461.68	249.02
433278.98	568461.70	249.08
433278.89	568461.58	248.99
433278.96	568461.60	249.05
433279.04	568461.61	249.11
433279.08	568461.63	249.16
433278.90	568461.48	248.97
433278.95	568461.50	249.02
433279.02	568461.51	249.08
433279.08	568461.53	249.14
433278.94	568461.40	249.00
433279.02	568461.41	249.06
433278.94	568461.29	248.97
433279.00	568461.31	249.03
433278.99	568461.21	249.00
433279.07	568461.23	249.06
433278.99	568461.11	248.98
433279.06	568461.12	249.04
433279.02	568461.00	248.96
433279.05	568461.02	249.01
433279.04	568460.92	248.98
433279.06	568460.81	248.96
433280.21	568456.41	249.07
433280.28	568456.42	249.13
433280.32	568456.44	249.17
433280.35	568456.47	249.22
433280.57	568456.44	249.42
433280.65	568456.46	249.48
433280.20	568456.31	249.04
433280.27	568456.32	249.10
433280.35	568456.34	249.16
433280.36	568456.36	249.21
433280.42	568456.38	249.26
433280.50	568456.40	249.32
433280.56	568456.42	249.38
433280.27	568456.22	249.08
433280.34	568456.24	249.14
433280.38	568456.26	249.19
433280.42	568456.28	249.24
433280.48	568456.30	249.30
433280.56	568456.31	249.36
433280.60	568456.34	249.41
433280.64	568456.36	249.46
433280.72	568456.37	249.52
433280.79	568456.39	249.58
433280.80	568456.41	249.62
433280.88	568456.43	249.69
433280.96	568456.45	249.75
433280.27	568456.12	249.06
433280.34	568456.14	249.12
433280.39	568456.15	249.17
433280.41	568456.18	249.22
433280.48	568456.19	249.27
433280.56	568456.21	249.34
433280.60	568456.23	249.39
433280.63	568456.25	249.44
433280.71	568456.27	249.50
433280.79	568456.29	249.56
433280.83	568456.31	249.61
433280.88	568456.33	249.67
433280.95	568456.35	249.73
433281.02	568456.37	249.79
433281.04	568456.39	249.83
433281.11	568456.41	249.90
433281.19	568456.42	249.96
433281.24	568456.45	250.01
433280.26	568456.02	249.04
433280.33	568456.03	249.10
433280.41	568456.05	249.16
433280.44	568456.07	249.20
433280.48	568456.09	249.25
433280.55	568456.11	249.31
433280.62	568456.12	249.37
433280.65	568456.15	249.42
433280.70	568456.17	249.48
433280.78	568456.18	249.54
433280.82	568456.21	249.59
433280.87	568456.23	249.64
433280.94	568456.24	249.71
433281.02	568456.26	249.77
433281.06	568456.28	249.82
433281.11	568456.30	249.87
433281.19	568456.32	249.94
433281.25	568456.34	250.00
433281.26	568456.37	250.04
433281.34	568456.38	250.11
433281.42	568456.40	250.17
433281.46	568456.43	250.23
433280.32	568455.94	249.07
433280.40	568455.95	249.13
433280.44	568455.97	249.18
433280.47	568455.99	249.23
433280.54	568456.01	249.29
433280.61	568456.03	249.35
433280.65	568456.05	249.40
433280.69	568456.07	249.45
433280.77	568456.08	249.51
433280.85	568456.10	249.58
433280.87	568456.12	249.62
433280.93	568456.14	249.68
433281.01	568456.16	249.74
433281.07	568456.18	249.80
433281.09	568456.20	249.85
433281.17	568456.22	249.91
433281.25	568456.24	249.98
433281.29	568456.26	250.03
433281.32	568456.28	250.08
433281.40	568456.30	250.14
433281.47	568456.32	250.21
433281.56	568456.37	250.32
433281.64	568456.39	250.38
433281.69	568456.41	250.44
433281.74	568456.43	250.50
433280.30	568455.84	249.04
433280.37	568455.85	249.10
433280.45	568455.87	249.16
433280.47	568455.89	249.21
433280.52	568455.91	249.26
433280.60	568455.93	249.32
433280.67	568455.94	249.38
433280.68	568455.97	249.42
433280.75	568455.99	249.48
433280.84	568456.00	249.55
433280.88	568456.02	249.60
433280.92	568456.04	249.65
433280.99	568456.06	249.71
433281.07	568456.08	249.78
433281.11	568456.10	249.83
433281.16	568456.12	249.88
433281.23	568456.14	249.95
433281.28	568456.16	250.00
433281.32	568456.19	250.05
433281.39	568456.20	250.12
433281.46	568456.22	250.18
433281.55	568456.27	250.29
433281.63	568456.29	250.36
433281.70	568456.31	250.42
433281.72	568456.33	250.47
433281.80	568456.35	250.53
433281.89	568456.37	250.61
433281.93	568456.39	250.66
433280.92	568455.94	249.63
433280.98	568455.96	249.69
433281.06	568455.98	249.75
433281.11	568456.00	249.81
433281.15	568456.02	249.86
433281.22	568456.04	249.92
433281.30	568456.06	249.99
433281.33	568456.08	250.03
433281.37	568456.10	250.09
433281.45	568456.12	250.15
433281.52	568456.14	250.22
433281.54	568456.16	250.27
433281.62	568456.18	250.33
433281.70	568456.20	250.40
433281.74	568456.22	250.45
433280.36	568455.75	249.08
433280.44	568455.77	249.14
433280.48	568455.79	249.19
433280.51	568455.81	249.24
433280.59	568455.82	249.30
433280.67	568455.84	249.36
433280.71	568455.86	249.41
433280.74	568455.88	249.46
433280.82	568455.90	249.52
433280.90	568455.92	249.58
433280.36	568455.65	249.06
433280.44	568455.66	249.12
433280.50	568455.68	249.18
433280.51	568455.70	249.22
433280.59	568455.72	249.28
433280.66	568455.74	249.34
433280.71	568455.75	249.39
433280.74	568455.78	249.44
433280.82	568455.79	249.50
433280.90	568455.81	249.56
433280.94	568455.83	249.62
433280.98	568455.85	249.67
433281.06	568455.87	249.73
433281.14	568455.89	249.79
433281.15	568455.91	249.84
433281.21	568455.93	249.90
433281.28	568455.95	249.96
433281.33	568455.97	250.01
433281.36	568456.00	250.06
433281.44	568456.02	250.13
433281.52	568456.03	250.19
433280.43	568455.56	249.10
433280.51	568455.57	249.16
433280.55	568455.59	249.21
433280.58	568455.62	249.25
433280.65	568455.63	249.32
433280.73	568455.65	249.38
433280.75	568455.67	249.42
433280.81	568455.69	249.48
433280.89	568455.71	249.54
433280.94	568455.73	249.59
433280.97	568455.75	249.64
433281.04	568455.77	249.70
433281.12	568455.78	249.77
433281.16	568455.81	249.82
433281.20	568455.83	249.87
433281.27	568455.85	249.93
433281.35	568455.87	250.00
433281.37	568455.89	250.04
433280.43	568455.45	249.07
433280.50	568455.47	249.13
433280.55	568455.49	249.18
